whichSNaQ,runtime,nhybrids,best_network,negloglik
2,20354.063776127,0,"(Xbirchmanni_GARC,Xmalinche_CHIC2,(Xcortezi,((Xmontezumae,Xnezahuacoyotl):0.19482793438018503,(((Xcontinens,Xpygmaeus):1.9345449142592648,(Xnigrensis,Xmultilineatus):1.4087343001661063):2.1005048584942996,(((((((((Xgordoni,Xmeyeri):0.2580166154143619,Xcouchianus):3.527746383171144,Xvariatus):0.6535837824185615,Xevelynae):0.4734645671377795,Xmilleri):0.2178715097040534,Xxiphidium):0.3360834508591615,Xandersi):0.40818769190173587,Xmaculatus):0.5658067642622985,((((Xalvarezi,Xmayae):0.3252514634130712,Xhellerii):0.25443312750643915,Xsignum):1.8863302551328271,(Xclemenciae_F2,Xmonticolus):1.4588260952676895):0.983170636387542):2.2982993664792435):0.46894361659479256):0.5642618166537526):0.9898184167782529); ",12491.254908598987
2,21438.899692416,1,"(Xgordoni,Xmeyeri,(Xcouchianus,(Xvariatus,(Xevelynae,(((Xandersi,(Xmaculatus,(((((Xalvarezi,Xmayae):0.3412058044882496,Xhellerii):0.25980205765976716,Xsignum):1.8677591675921164,(Xclemenciae_F2,Xmonticolus):1.448857233123739):0.7916035706071038,(((((Xbirchmanni_GARC,Xmalinche_CHIC2):0.9869763982642129,Xcortezi):0.566392004282229,(Xmontezumae,Xnezahuacoyotl):0.18176889556182854):0.46642458644494456,((Xcontinens,Xpygmaeus):1.8304826232109004,(Xnigrensis,Xmultilineatus):1.4064665368742382):2.102159923200821):2.095533492917311)#H25:0.719354621810622::0.8332882513603551):1.029815944738755):0.6485175860688308):0.4707798619059468,Xmilleri):0.30340575133304637,(Xxiphidium,#H25:0.0::0.16671174863964489):1.4191809521468768):0.40559725289017595):0.6385195168847904):3.5206808514189167):0.26238741176753844); ",9458.674295546114
2,29889.029606337,2,"(Xbirchmanni_GARC,Xmalinche_CHIC2,(Xcortezi,((((((Xxiphidium,(((((Xmeyeri,Xgordoni):0.2636125258995548,Xcouchianus):3.500689282907888,Xvariatus):0.631060667421429,Xevelynae):0.36384431618446456,(Xmilleri)#H27:::0.9347017725850442):0.337984414136385):0.37108829129924537,Xandersi):0.4247019862024905,Xmaculatus):0.5804860923733187,((Xclemenciae_F2,Xmonticolus):1.4525442440650576,((((Xalvarezi,Xmayae):0.32967720163672803,Xhellerii):0.25364299449877903,Xsignum):1.1809333322387425,#H27:::0.06529822741495583):0.704884894988302):1.0089265053891516):2.242602508665856,(((Xcontinens,Xpygmaeus):1.9060578592681583,(Xnigrensis,Xmultilineatus):1.3683555366925761):0.04645495347527983,#H25:::0.1885094883265293):2.4090201585868933):0.6274265209362606,(Xmontezumae,(Xnezahuacoyotl)#H25:::0.8114905116734707):0.3270653571601541):0.46906830514093595):0.9965298321797921); ",11100.876536210875
2,87247.737303139,3,"(Xmeyeri,Xgordoni,(Xcouchianus,((Xvariatus,(Xevelynae,(Xmilleri,(((Xandersi,(Xmaculatus,(((((Xalvarezi,Xmayae):0.35523598726753974,Xhellerii):0.2551585304612236,Xsignum):1.86414781612554,(Xclemenciae_F2,Xmonticolus):1.4518300532738695):0.780858065644734,((((Xcontinens,Xpygmaeus):1.8371481663862312,(Xmultilineatus,(Xnigrensis)#H25:::0.9609090573333088):2.020195319259579):2.3462939916126166,(((Xmontezumae,Xnezahuacoyotl):0.18304886194077766,((Xmalinche_CHIC2,Xbirchmanni_GARC):1.0078526159917822,Xcortezi):0.559592984366517):0.21625729673398908,#H25:::0.0390909426666912):0.2585219424681057):2.058951204825393)#H27:0.8450493290611666::0.8201988399405816):1.0374235982464672):0.6589285536790408):0.4810485585571911,(Xxiphidium,#H27:0.01998487996080917::0.1798011600594184):1.0912404435721506):0.10518129494227688)#H29:0.137399952402428::0.9363463753974051):0.6163780468790104):0.8628137007277241):1.9687745976616406,#H29:0.5361453044685456::0.06365362460259495):2.2384019525032093):0.2555736461395238); ",9517.256271544718
2,47163.159302289,4,"(Xbirchmanni_GARC,Xmalinche_CHIC2,(((Xmontezumae,(Xnezahuacoyotl,#H33:::0.37732840449293376):9.9999939329067):0.3306563938716127,((((((Xclemenciae_F2,Xmonticolus):1.4524815811958813,(Xsignum,((Xmayae,Xalvarezi):0.31514108217299674,Xhellerii):0.2641987132235991):1.8729806969081975):0.8180466674367831,((((Xandersi,(Xmilleri,(((Xcouchianus,(Xmeyeri,Xgordoni):0.28336869011111804):3.514525444217218,Xvariatus):0.6077105651852961,(Xevelynae,(Xxiphidium)#H25:::0.5538144697888907):0.0):0.6416744532431076):0.5457466111276579):0.33015929745057465,#H25:::0.4461855302111093):0.07474050053547295)#H27:0.46428133177844116::0.790743447061608,Xmaculatus):1.2010171977685054):1.4051138991082925,#H27:2.3601231757058785::0.20925655293839193):1.4039736775960445,((Xcontinens,Xpygmaeus):1.9136270892984635,(Xmultilineatus,(Xnigrensis)#H31:::0.9588919685400147):2.0050462364869306):2.3105483040117827):0.12810801297766194,#H31:::0.041108031459985324):0.248653480752719):1.5140102001286722,(Xcortezi)#H33:::0.6226715955070663):0.3286713850179162); ",9001.775250731927
2,75249.35976899,5,"((Xcortezi,((Xmontezumae,Xnezahuacoyotl):0.05507403470130131,((((Xcontinens,Xpygmaeus):1.8263419657118718,(Xmultilineatus,(Xnigrensis)#H27:::0.9074109725834785):2.437919495237721):1.47982701653102,#H27:::0.09258902741652154):0.6710802398213163,((((((Xhellerii,(Xalvarezi,(Xmayae,#H39:::0.2975896254441885):4.65042526426455):0.4182460797094471):0.6129318246669219,(Xsignum)#H39:::0.7024103745558115):1.5904699857801696,(Xclemenciae_F2,Xmonticolus):1.4597087086285756):0.9022538848505719,((Xandersi,((((Xevelynae,((Xvariatus,((Xmeyeri,Xgordoni):0.26804635807128535,Xcouchianus):3.526856232897168):0.06098179945474447,#H33:::0.4166386500645645):0.6562291761317913):0.5945529475607318,Xmilleri):0.7255066907582194,(Xxiphidium)#H33:::0.5833613499354355):0.0)#H29:0.01495475451544461::0.8928323408576677):0.5884483835443378,Xmaculatus):0.8198436273372809):1.629681017475637,#H29:0.00455236260703823::0.10716765914233234):1.130708599357948)#H25:0.018746446708604817::0.8488038004766683):0.7484407309942047):0.8569999043638545):1.721095636783277,Xmalinche_CHIC2,(Xbirchmanni_GARC,#H25:0.002121741721300512::0.1511961995233317):0.06903842795111793); ",8579.669270316146
1,62189.93456625,0,"(Xbirchmanni_GARC,Xmalinche_CHIC2,(Xcortezi,((((Xcontinens,Xpygmaeus):1.9686746399192034,(Xnigrensis,Xmultilineatus):1.4507946075895048):2.4277831703754047,(((((((((Xgordoni,Xmeyeri):0.26096116854800855,Xcouchianus):3.5262740112374034,Xvariatus):0.6441337797254055,Xevelynae):0.46238113045940904,Xmilleri):0.2206796711101763,Xxiphidium):0.34187335598897917,Xandersi):0.4130796436664383,Xmaculatus):0.5628172294686543,((((Xalvarezi,Xmayae):0.33575629100320215,Xhellerii):0.2570030405820556,Xsignum):1.8684905148667412,(Xclemenciae_F2,Xmonticolus):1.4568344768997241):0.989409830282603):2.223889084775516):0.4925710493816971,Xmontezumae):0.6902757536009876):0.8942518687351185); ",12306.301605275674
1,105512.006054346,1,"(Xalvarezi,Xmayae,(Xhellerii,(Xsignum,((Xclemenciae_F2,Xmonticolus):1.4552041214707416,(((((((((Xgordoni,Xmeyeri):0.2609873101734162,Xcouchianus):3.528063280805239,Xvariatus):0.6446279089286899,Xevelynae):0.462284368652192,Xmilleri):0.15800582733701732,(Xxiphidium,#H24:::0.17643906087780342):1.1198276366293516):0.49283646032809314,Xandersi):0.6432655641682358,Xmaculatus):1.025780855129809,(((Xmontezumae,(Xcortezi,(Xbirchmanni_GARC,Xmalinche_CHIC2):0.8943065261646596):0.6903951873120144):0.4926049347387669,((Xnigrensis,Xmultilineatus):1.4508249886879712,(Xpygmaeus,Xcontinens):1.9686623551644915):2.4280738607161476):1.684904995871621)#H24:::0.8235609391221965):0.7799246954466896):1.8655924988330903):0.2570158690012912):0.33572199673987246); ",8750.862383240536
1,136170.869909204,2,"(Xalvarezi,Xmayae,((Xsignum,((Xmonticolus,(Xclemenciae_F2,#H25:::0.032485577051040423):0.979116879342896):1.4858786525152954,(((((((((Xgordoni,Xmeyeri):0.26111415598145865,Xcouchianus):3.5325554148283564,Xvariatus):0.6445452395880061,Xevelynae):0.41219807813960146,(Xxiphidium,#H24:0.0::0.16538333427567822):1.4020042304402076):0.2921320715527958,Xmilleri):0.4688709909949548,Xandersi):0.6492623942884177,Xmaculatus):1.0200542801748702,(((Xmontezumae,(Xcortezi,(Xbirchmanni_GARC,Xmalinche_CHIC2):0.8943004029517725):0.6903622798656042):0.4926275928330048,((Xnigrensis,Xmultilineatus):1.4508210422790195,(Xpygmaeus,Xcontinens):1.9686498919562234):2.428065080719157):2.0435103751744865)#H24:0.6476450483433508::0.8346166657243218):0.7816554661308311):1.9841381634366537):0.31614675520900004,(Xhellerii)#H25:::0.9675144229489596):0.28226883225049243); ",8014.520630077036
1,209690.133119608,3,"(Xalvarezi,Xmayae,((Xsignum,(((((((((((Xgordoni,Xmeyeri):0.260934039544222,Xcouchianus):3.5312797360545534,Xvariatus):0.6443399024732661,Xevelynae):0.4123855942918298,(Xxiphidium,#H24:0.0018361266408130198::0.16539114989813283):1.4008222473756964):0.2917923569670647,Xmilleri):0.469349177188365,Xandersi):0.6487539881470423,Xmaculatus):1.0198477802411505,((((Xmontezumae,(Xcortezi,((Xmalinche_CHIC2,Xbirchmanni_GARC):1.083313518019925)#H26:0.0::0.8727956310421234):1.2638928371797538):0.6285091821002746,((Xnigrensis,Xmultilineatus):1.4513524061920164,(Xpygmaeus,Xcontinens):1.9718994304295323):2.3735668516591146):1.1260098714831577,#H26:8.623855915393824::0.12720436895787657):1.069385985597533)#H24:0.6477570616947983::0.8346088501018671):0.7903361834646656,(Xclemenciae_F2,Xmonticolus):1.4531323606875988):1.350827768154535,#H25:::0.3692984937136875):0.681502354092836):0.633639354032585,(Xhellerii)#H25:::0.6307015062863125):0.0); ",7268.364901670601
