estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"((((((2,1):0.16912790395544766,3):0.7826706305779645,4):1.365081642640375,((9,(12,(11,10):0.6953622565390147):0.785394545794013):0.7161679977503738,((#H21:::0.30495733798359725,8):0.0,((7,6):0.436515298430463,(5)#H21:::0.6950426620164027):1.2356769782505366):0.685194092220608):0.5298536029713777):0.5216184247557728,20):1.4452845397308562,((17,18):1.4825911655500597,((14,13):0.6912797344428879,(16,15):0.5640253369187247):0.6315481682172671):0.7754076114831995,19);",300,4,0.0,1.0,1,42411.051467668,4,2,0.2680393266666668,20,1,1,med,25
"(8,(5,(7,6):0.6359939056292937):0.7975902818019847,(((9,(12,(10,11):0.7365863869659148):0.5717208505375329):0.6354619443198215,((20,((((14,13):0.6659533177956712,(16,15):0.6812257820484823):0.7308125172501648,(17,18):1.4567382044806436):0.7713511134828323,19):1.1922428710461728):0.7484909653555074,((4,(3,(2,1):0.21598805172854363):0.7614569440233329):0.6563692766700957)#H23:0.9135325723910125::0.9694963889648829):0.6244665454670966):0.6335495297788444,#H23:9.998906719296006::0.030503611035117166):3.1992924040385716e-10);",300,4,0.0,1.0,1,94281.159882178,4,2,0.28235307000000004,20,1,1,med,1
"(13,14,((15,16):0.8377669671613196,((17,18):1.499369252724626,(19,((20,(((9,(12,(10,11):0.6657085462610048):0.7401662726013016):0.608262554396829,(((6,7):0.6522641829912984,5):0.8250563822853725,8):0.829294590153545):0.4339259522381666,((4,((1,2):0.2362374078180304,3):0.8090463481997849):1.5598710733279495)#H21:0.0::0.7366568045146049):1.1419987763963573):0.05479419767934862,#H21:10.0::0.2633431954853951):1.2847665111939113):0.6389376961046546):0.6781925121913207):0.6612576046171461);",300,4,0.0,1.0,1,80432.673808648,4,2,0.26901971,20,1,1,med,37
"(((13,14):0.6751511869434176,(16,15):0.6469403235144556):0.576006541538103,(17,18):1.2940081228974147,(19,(20,(((9,((10,11):0.7127712295746639,(12)#H21:::0.9781528579489732):0.7318704802090568):0.5547377967824598,(8,(5,(7,6):0.6605724664620256):0.8647918072756078):0.6226552087317987):0.7332658399572948,((4,((2,3):0.1488050969229024,1):0.7393433659543274):0.10931124303113704,#H21:::0.02184714205102678):1.358301691409238):0.7096688882177647):1.3347600831187925):0.6986615223269342);",300,4,0.0,1.0,1,102986.404104845,4,0,0.27941186000000007,20,1,1,med,34
"(20,(((8,((6,7):0.5976810241114827,5):0.6106542834149693):0.6359259748714367,(((11,10):0.932826959403453,12):0.6770687394884527,9):0.658907570101584):0.6587784726698752,(((2,3):0.28538122223464857,1):0.927149579540676,4):1.3008712828684894):0.6356909987079765,(19,((18,17):1.320863216013159,((16,(15,#H21:0.06479646003806101::0.3160209729350127):1.2628356235166166e-8):1.2350669930370626,((13,14):0.9416158417848793)#H21:2.135409039145432e-8::0.6839790270649873):0.33185822028954315):0.7899829159486541):1.29572654096696);",300,16,0.0,1.0,1,23540.997750836,4,0,0.2811765733333333,20,1,1,med,12
"((((((2,1):0.16912790395544766,3):0.7826706305779645,4):1.365081642640375,((9,(12,(11,10):0.6953622565390147):0.785394545794013):0.7161679977503738,((#H21:::0.30495733798359725,8):0.0,((7,6):0.436515298430463,(5)#H21:::0.6950426620164027):1.2356769782505366):0.685194092220608):0.5298536029713777):0.5216184247557728,20):1.4452845397308562,((17,18):1.4825911655500597,((14,13):0.6912797344428879,(16,15):0.5640253369187247):0.6315481682172671):0.7754076114831995,19);",300,8,0.0,1.0,1,24343.490024267,4,2,0.2680393266666668,20,1,1,med,25
"(7,6,(5,(8,((9,((11,10):0.7664188534689969,12):0.783923481649687):0.6468190919627222,((((((15,16):0.7079992210709721,(13,14):0.5716163018616034):0.6964426888970773,(18,17):1.4940949316072167):0.6817048603465996,19):1.344363250388628,(20)#H21:::0.930438312512839):0.8121578855816707,(((2,3):0.0005718884248050316,1):0.8349217078844339,(4,#H21:::0.0695616874871609):0.0):1.514839541455478):0.5199576791185502):0.6110069773884427):0.8745336408314566):0.6878781604798475);",300,16,0.0,1.0,1,26439.115969754,4,0,0.2737255933333334,20,1,1,med,21
"((((((2,1):0.16912790395544766,3):0.7826706305779645,4):1.365081642640375,((9,(12,(11,10):0.6953622565390147):0.785394545794013):0.7161679977503738,((#H21:::0.30495733798359725,8):0.0,((7,6):0.436515298430463,(5)#H21:::0.6950426620164027):1.2356769782505366):0.685194092220608):0.5298536029713777):0.5216184247557728,20):1.4452845397308562,((17,18):1.4825911655500597,((14,13):0.6912797344428879,(16,15):0.5640253369187247):0.6315481682172671):0.7754076114831995,19);",300,16,0.0,1.0,1,27305.533567993,4,2,0.2680393266666668,20,1,1,med,25
"(20,(((8,((6,7):0.5976810241114827,5):0.6106542834149693):0.6359259748714367,(((11,10):0.932826959403453,12):0.6770687394884527,9):0.658907570101584):0.6587784726698752,(((2,3):0.28538122223464857,1):0.927149579540676,4):1.3008712828684894):0.6356909987079765,(19,((18,17):1.320863216013159,((16,(15,#H21:0.06479646003806101::0.3160209729350127):1.2628356235166166e-8):1.2350669930370626,((13,14):0.9416158417848793)#H21:2.135409039145432e-8::0.6839790270649873):0.33185822028954315):0.7899829159486541):1.29572654096696);",300,8,0.0,1.0,1,31112.39124327,4,0,0.2811765733333333,20,1,1,med,12
"(((11,10):0.7271696581135982,12):0.7299217462206335,((((6,7):0.8298698860775375,5):0.5846254344676302,8):0.6124535265941518,(((((17,18):1.2788841418927166,((15,16):0.6431021795146142,(14,13):0.7740521398406642):0.6862753730747116):0.7238668995870366,19):1.4593436380268265,(20,#H23:::0.0074268872008388985):0.0):0.6531836115744502,(4,(1,(3,(2)#H23:::0.992573112799161):0.09300608762837512):0.9598939798386549):1.3839103980696472):0.7350658383065093):0.6379199949269008,9);",300,8,0.0,1.0,1,31701.027122739,2,0,0.27078440666666664,20,1,1,med,22
