estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"(20,((18,17):3.151647144574757,((13,(14,((16,15):0.6122184924520638)#H25:0.530794462365387::0.7718750952808662):0.00020820779153928455):3.0320514979277666,(19,#H25:7.5::0.22812490471913388):0.06596892190735551):0.11069802865992459):2.0398468664763723,(((3,((1,2):0.2517966938771402)#H29:1.2052243633783205e-14::0.6052376979982748):3.7703791648880896,(4,#H29:2.5::0.3947623020017253):0.0):1.4973019536434196,(((((6,7):0.3537171602713794,5):0.9833208322820286,8):0.61329799594836)#H21:8.285139443400219::0.5262287276515853,(9,(((10,11):4.958428124913347e-5,12):0.7628924768388368,#H21:0.003673229819195169::0.47377127234841465):0.0):2.645824010645297):0.010348553341572782):0.7359329335827804);",300,8,0.0,1.0,1,215760.361832502,14,8,0.2531373566666666,20,3,3,med,1
"(3,((2,1):0.12732613511246685,(4,(((20,(((14,13):0.5366237248023157,((16,15):0.9604450664520743)#H27:5.245613039724833e-7::0.8687103002967332):1.7256946117887186,((19,(18,17):2.013479823061336):0.1438487195503156,#H27:9.810712727340224::0.13128969970326676):0.03245444143940255):1.6301353006812986):0.7182757452127803,(((((7,#H21:9.999935643882413::9.342107866310855e-5):4.39122240257613e-6,6):0.8013064485416843,5):0.6229587436875363,8):0.7220996783646527,(9,(((11,10):0.23075624120606053,12):0.03652982343887265)#H21:0.7530307337400584::0.9999065789213369):0.7899198831469296):0.6173560842264462):1.4991593103526868)#H25:0.0::0.8364989463232017):1.2916214918447286):0.24965334701896905,#H25:6.548846067964381e-7::0.16350105367679837);",300,4,0.0,1.0,1,167239.283765582,16,4,0.2505883633333334,20,3,3,med,4
"((10,11):0.13562406621880593,12,(9,(((20,((((15,16):0.6857332033580136,(13,14):0.9975367686639102):1.0798400517673559,((18,17):2.391113579853275,19):0.24546308771539935):0.00047390319332363284)#H21:1.785278861688792::0.9822308369159737):0.5802764125409643,(4,((1,(2,(3)#H23:::0.7465800501756451):0.2990426807925758):1.0697281769907865,#H23:::0.2534199498243549):0.0):1.6732062210795202):0.8008881757989487,((#H27:::0.4432777032941028,((7,6):0.5786476978400378,(5,(8)#H27:::0.5567222967058971):4.785756132774926e-5):1.840566591648272):5.070184420078779e-6,#H21:5.474226230018523::0.017769163084026283):2.6732076965933207e-11):0.7985716204414838):0.6682235982396406);",300,8,0.0,1.0,1,99956.392053089,12,4,0.2709804866666667,20,3,3,med,3
"(15,16,((13,14):0.755061607303769,((19,#H25:0.0::0.30440096294614594):2.0858333766766184,(((18,17):1.7260418675132088)#H25:7.364141651210804::0.6955990370538541,((((9,((10,11):0.1290985800206342,(12,#H23:5.833303046367717::0.04484204743687305):0.0):0.9092531270772355):0.7390638148111809,((8,((6,7):0.6451039980377308,5):0.7637522087094865):0.1743061336918379)#H23:0.6393731400675692::0.955157952563127):0.6653289567187295,(((3,2):0.08997586114571035,1):0.8900535698800747,(4)#H27:::0.9724885144467309):1.5836181212815137):0.5998627753912525,(20,#H27:::0.02751148555326909):9.973339319084804):1.2855794471915567):0.3930492133232691):1.0136761608263154):0.5799990981670153);",300,16,0.0,1.0,1,176475.117845073,12,4,0.2709804866666666,20,3,3,med,3
"(7,(5,(((4,((2,3):0.24983005122679974,1):0.7363237977669649):1.5182138969508903,(((20)#H27:::1.0,(((13,14):0.4942016645209531,(15,16):0.5384040892068412):1.2081975424538902,((19,(18,17):2.1651118666774507):0.21513625888989565,#H27:::0.0):6.790766107944263e-7):1.670954302103142):0.6420832615020375,#H21:8.331960851353122::0.4689961126745366):0.0):1.5552374311419308,(8,(((9)#H25:::0.5844257518314185,(12,(#H25:::0.41557424816858146,(11,10):0.06287461797230873):0.038825716969395616):1.5337242419188055):0.0002870280194342274)#H21:1.6186841375721437::0.5310038873254634):3.3785662983795225e-6):0.7978130836807684):0.7337063799284836,6);",300,16,0.0,1.0,1,109640.160329141,16,4,0.26392170333333326,20,3,3,med,5
"(8,((9,(((((1,2):0.21216333640460533,(3,#H35:::0.0):0.0004473295459789298):0.5773882664245195,(4)#H35:::1.0):2.5777494158251177)#H21:1.3219567220527858e-15::0.8148263581405581,((11,12):0.19035917453253925,10):1.4382728712856725):3.740475293658525e-17):7.758729012917441e-16,((((18,17):2.5679481838180553,19):0.13773083145282355,((13,14):0.8053982258069233,(16,(15,#H21:7.234120130193341e-14::0.18517364185944182):2.3672437446091276e-15):0.2851062883890593):1.3536393786483327):2.6097628887952027,20):1.270334361359719):0.9644670724788657,((7,(6)#H27:::1.0):0.7635659257061066,(5,#H27:::0.0):0.7635659257061066):0.5327774907139335);",300,8,0.0,1.0,1,71336.78212507,18,6,0.2570589333333334,20,3,3,med,7
"(16,((14,13):0.628035486611894,(19,((20,((((((7,6):0.5098111378100334,5):0.9172636542121843,8):0.7406965697114395,((((10,11):0.15098319065631774,12):0.8151786673448633,9):0.6640825431229991,#H25:6.2099046690202895e-9::0.21183784445504036):0.09550433769111166):0.928309071739703,(((1,(2,(3)#H21:::0.7870275853677855):0.514462078157713):1.103893177789567,(#H21:::0.21297241463221456,4):0.0):0.8007626639676282)#H25:1.3479001033390126::0.7881621555449596):0.687758973394909)#H23:0.0::0.7729545516459229):9.999999413782387,((17,18):1.874506876195725,#H23:0.108003469810709::0.22704544835407708):0.20192436658015034):0.1146559766341658):1.258092925798538):0.7113874388860992,15);",300,8,0.0,1.0,1,76263.67783466,12,4,0.2607844233333333,20,3,3,med,8
"(3,((2,1):0.1154862214030796,(4,(((20,(((14,13):0.5384835162333281,((16,15):0.9496575991809216)#H27:6.067355196583531e-7::0.8731325320839205):1.7024730537423391,((19,(18,17):2.015688910081826):0.16779712568372482,#H27:9.822526385983146::0.12686746791607956):0.01106514748037356):1.6305639483209038):0.717764403946264,(((((7,#H21:9.999944625400056::0.0):4.8857555432516044e-6,6):0.8207750407320056,5):0.6414614897382037,8):0.714155488138214,(9,(((11,10):0.23117189959076273,12):0.01322016256081955)#H21:0.7766300547735893::1.0):0.7939218276705771):0.6201232257593753):1.503511095432581)#H25:0.0::0.8368259103105009):1.2460150346734329):0.2575333773764801,#H25:6.355235892383099e-7::0.16317408968949915);",300,8,0.0,1.0,1,164479.138707711,16,4,0.2505883633333333,20,3,3,med,4
"(3,((2,1):0.1154862214030796,(4,(((20,(((14,13):0.5384835162333281,((16,15):0.9496575991809216)#H27:6.067355196583531e-7::0.8731325320839205):1.7024730537423391,((19,(18,17):2.015688910081826):0.16779712568372482,#H27:9.822526385983146::0.12686746791607956):0.01106514748037356):1.6305639483209038):0.717764403946264,(((((7,#H21:9.999944625400056::0.0):4.8857555432516044e-6,6):0.8207750407320056,5):0.6414614897382037,8):0.714155488138214,(9,(((11,10):0.23117189959076273,12):0.01322016256081955)#H21:0.7766300547735893::1.0):0.7939218276705771):0.6201232257593753):1.503511095432581)#H25:0.0::0.8368259103105009):1.2460150346734329):0.2575333773764801,#H25:6.355235892383099e-7::0.16317408968949915);",300,16,0.0,1.0,1,162380.010903921,16,4,0.2505883633333333,20,3,3,med,4
"((16,15):0.7246604944391544,((14,13):0.6597385124133873,#H23:0.0::0.17187669323357588):0.09153876308959333,((18,17):1.8244592062789884,((19,(20,(#H21:4.312475683454217::0.04829170698070062,((4,((2,1):0.19709100763666118,3):0.8123077727914312):1.4180164598616012,((8,(5,(7,6):0.7718417588158999):0.897321909879236):0.6045495420262655,((9,(((11,(10)#H25:::0.8149898443742699):0.35523458112344447,12):1.4750947322598646,#H25:::0.1850101556257301):0.03641212862386819):0.6794648444774363)#H21:0.0::0.9517082930192994):0.7059320594067111):0.2822262209624154):0.39322471546720045):1.5863092407799708):3.6387338844315265e-6)#H23:3.047779781643521e-6::0.8281233067664241):4.240128205672764);",300,4,0.0,1.0,1,129012.689501557,14,6,0.25705895,20,3,3,med,29
