snaqV,ntaxa,nhybrids,runtime,threads
v1.0,4,1,0.615850703,1
v1.0,5,1,0.022926508,1
v1.0,6,1,0.016219806,1
v1.0,6,2,0.042165061,1
v1.0,7,1,0.204669957,1
v1.0,7,2,0.245199824,1
v1.0,8,1,0.245116299,1
v1.0,8,2,0.675067433,1
v1.0,9,1,1.687484014,1
v1.0,9,2,2.269828729,1
v1.0,9,3,0.460291514,1
v1.0,10,1,1.175387609,1
v1.0,10,2,4.757485774,1
v1.0,10,3,6.879482592,1
v1.0,11,1,6.902845329,1
v1.0,11,2,5.946290449,1
v1.0,11,3,6.721038167,1
v1.0,12,1,4.314251307,1
v1.0,12,2,0.78902783,1
v1.0,12,3,5.508553812,1
v1.0,13,1,21.808986539,1
v1.0,13,2,19.311135438,1
v1.0,13,3,33.210093955,1
v1.0,14,1,34.426667742,1
v1.0,14,2,48.177411906,1
v1.0,14,3,61.013404298,1
v1.0,15,1,55.667682838,1
v1.0,4,1,0.618231109,1
v1.0,5,1,0.023823115,1
v1.0,6,1,0.015872964,1
v1.0,6,2,0.04149813,1
v1.0,7,1,0.190417867,1
v1.0,7,2,0.242145557,1
v1.0,8,1,0.244930205,1
v1.0,8,2,0.671574483,1
v1.0,9,1,1.655320872,1
v1.0,9,2,2.220228002,1
v1.0,9,3,0.462119122,1
v1.0,10,1,1.18517639,1
v1.0,10,2,4.714530067,1
v1.0,10,3,6.599804603,1
v1.0,11,1,7.156796365,1
v1.0,11,2,6.274981908,1
v1.0,11,3,6.558385058,1
v1.0,12,1,4.211063054,1
v1.0,12,2,0.786037742,1
v1.0,12,3,5.450567468,1
v1.0,13,1,21.705603408,1
v1.0,13,2,19.928732304,1
v1.0,13,3,33.220246055,1
v1.0,14,1,33.678482746,1
v1.0,14,2,46.645046793,1
v1.0,14,3,63.451193398,1
v1.0,15,1,55.708127446,1
v1.0,15,2,32.972731421,1
v1.0,15,3,9.968982699,1
v1.0,16,1,23.459613198,1
v1.0,16,2,28.867734801,1
v1.0,16,3,75.174561404,1
v1.0,17,1,22.747025869,1
v1.0,17,2,81.150661067,1
v1.0,17,3,48.265661292,1
v1.0,18,1,224.337929764,1
v1.0,18,2,84.484111175,1
v1.0,18,3,107.95805559,1
v1.0,19,1,106.289265933,1
v1.0,19,2,34.651669942,1
v1.0,19,3,313.319575029,1
v1.0,20,1,56.946071783,1
v1.0,20,2,457.453800086,1
v1.0,20,3,183.910402567,1
v1.0,4,1,0.001206426,1
v1.0,5,1,0.009158189,1
v1.0,6,1,0.020135979,1
v1.0,4,1,0.667172694,1
v1.0,5,1,0.027873534,1
v1.0,6,1,0.016527615,1
v1.0,6,2,0.044857986,1
v1.0,7,1,0.156982048,1
v1.0,7,2,0.214475154,1
v1.0,8,1,0.258476489,1
v1.0,8,2,0.695806799,1
v1.0,9,1,1.747701436,1
v1.0,9,2,2.343292394,1
