truenet,estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(5,(6)#H21:::0.8549044118186726,(((9,(10,#H13:::0.06202590181892424):0.05731644365314718):0.27766422083715536,(8,(7)#H13:::0.9379740981810758):9.991125564356746):0.8745046662230939,((1,#H21:::0.14509558818132742):0.37771052229489027,((2,(3,#H11:::0.264926156622481):1.1577027612647586):0.18704219702567026,(4)#H11:::0.735073843377519):0.7592267542153444):0.30681402540459624):2.2331211502122494);",100,16,0.33,1.0,2,618.251536874,14,6,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(((#H11:::0.3596219867208538,((2)#H33:::0.8095870870292111,((3,#H33:::0.19041291297078888):1.5320818270853958,4):0.2647566706835661):0.0):1.1941589819078398,((10,(9)#H13:::0.57069737246853):0.807211104915378,((7,8):2.2838130132530843,#H13:::0.42930262753147):0.5598154329944859):0.778325399791771):0.14941574959380005,(1)#H11:::0.6403780132791461,(6,5):1.2183018442215996);",100,16,0.33,0.9,2,1799.076734543,8,2,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(((3,#H11:::0.1914747603843097):0.48334887043137886,4):0.1565970653789686,((1)#H11:::0.8085252396156903,((((10,(9,#H13:1.3612918243581767e-12::0.21219890606348496):3.2594381386558244):0.5270659626362673,((8,7):1.7847127555196511)#H13:9.999999999998797::0.787801093936515):0.0)#H15:0.7449989251214315::1.0,(6,(#H15:4.520402085631781::0.0,5):0.0010899314982480805):1.332528716072943):0.07205083132674221):1.1965053485653738,2);",100,16,0.33,0.7,2,736.329706951,10,4,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(((6,5):1.129016738878816,(((10,(9)#H15:::0.8965814574262116):0.3871544023701332,(#H15:::0.10341854257378837,(8,7):0.0027669151839710905):2.999430663009001):0.8411674095900661)#H11:0.0::0.6330837109114369):0.5445024024139463,1,(#H11:9.99035570520443::0.36691628908856305,(((3,#H19:::0.462024697187172):0.48758961637182596,2):0.2557866292370029,(4)#H19:::0.537975302812828):0.5415423552537785):0.23698871157751336);",100,16,0.66,1.0,2,1082.394128859,12,6,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(((2,(3)#H15:::0.9669009074282775):0.05927675971248176,(4,#H15:::0.0330990925717225):0.05927675971248176):0.05711266586567177,(((10,#H11:::0.32386288658858486):4.889730673747743,((7,8):2.351586719338472,(9)#H11:::0.6761371134114151):0.31777997131904906):0.7865460878909645,((5,6):1.2312780274219393,(1)#H13:::0.6659974727431557):0.14118497788717316):1.3050251297308775,#H13:::0.33400252725684426);",100,16,0.66,0.9,2,1495.97560296,4,2,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","((((8,(7)#H13:::0.9441934120884049):9.99999139262405,(10,(9,#H13:::0.05580658791159509):0.44214640731683363):0.3006590187402801):0.8672614044932874,(6,(#H11:::0.09848511117609307,5):1.556720114439746e-9):1.4096425992183064):0.3367491457221988,(1)#H11:::0.901514888823907,((4,(3,(2)#H17:::0.8126032720318633):0.10338076041754753):1.0310004910987305,#H17:::0.1873967279681367):0.0);",100,16,0.66,0.7,2,992.001374865,8,6,0.31714268,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(((2,#H21:::0.5802968431118593):0.4634654603414029,(4,(3)#H21:::0.4197031568881407):0.4634654603414029):0.6996448396653507,(#H11:5.618205331167741::0.23702826253492,(6,5):0.3832762964580097):2.394331695352723,((((8,(7)#H19:::0.944259610128814):7.225685489539639,((10,9):0.1399131780755018,#H19:::0.05574038987118599):0.0851812390821555):0.9502638035047672,1):0.0)#H11:0.0::0.76297173746508);",300,16,0.0,1.0,1,2007.85374205,10,6,0.29809506666666674,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(10,(9,((8,7):2.7405771745938683)#H11:9.93319193175021::0.5837414184741602):0.3723479269318642,(((#H17:::0.3862430987879917,((4,(3,#H15:::0.45455275612352153):0.6800435272583022):0.3177108246101213,(2)#H15:::0.5454472438764785):0.19703919115739815):0.6817801958170395,((5,6):1.1509116194420168,(1)#H17:::0.6137569012120083):0.43607721438584346):0.2590816998557132,#H11:0.0::0.41625858152583983):0.9553098331757498);",300,16,0.0,1.0,2,978.573594173,4,0,0.29809506666666674,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(6,5,((#H11:0.0::0.4481491354780427,((4)#H15:::0.509643563532198,(2,(3,#H15:::0.490356436467802):0.3945303438071764):0.4755774856612035):0.2223357154016877):1.463662447449846,((((9,10):0.22217126741226734,(7,(8)#H13:::0.9879860555920864):3.262559909205004):1.005162783802591,(1,#H13:::0.012013944407913627):0.0):0.0)#H11:0.0::0.5518508645219573):1.1337834543772736);",300,16,0.0,0.9,2,562.711509195,14,6,0.29809506666666674,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","((10,#H13:::0.37005352746297393):1.393410268927152,((8,7):2.6059384039877593,(9)#H13:::0.6299464725370261):0.2899633220517376,(((6,5):1.3172284754477697,(1,#H11:0.0::0.3377699250970719):0.9443112829072454):0.41265842732440344,(((4,(3,(2)#H21:::0.5185145412490162):0.5643770910128468):0.3665772684409837,#H21:::0.48148545875098375):0.2896513507031527)#H11:2.8168533037998835::0.6622300749029282):0.5839981367269994);",300,16,0.0,0.7,2,962.403089318,10,2,0.29809506666666674,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","((10,(((#H11:::0.3890625154696722,((4,#H25:::0.42023693608724355):0.4612252745311481,(2,(3)#H25:::0.5797630639127564):0.4612252745311481):0.3293250671082053):0.6765048887746958,((5,6):1.1485995142488654,(1)#H11:::0.6109374845303278):0.438983818368473):0.4681918289585118)#H13:4.793284343157397::0.6735291011219275):0.32600978179359524,9,((8,7):2.1751631946591354,#H13:0.0::0.32647089887807246):1.6941005480559508);",300,16,0.33,1.0,2,619.686627967,4,2,0.29809506666666674,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","((7,8):2.6937836135367434,((((6,5):1.3103445596256618,(1,#H11:0.0007933018111091478::0.19677176111428393):9.599088219580814):0.3238024503228467,(((4,(3,#H15:::0.48223489975511047):0.6192849634558661):0.3371767653462305,(2)#H15:::0.5177651002448895):0.1720042843887985)#H11:1.4630590566250492::0.803228238885716):0.658968889260404,(10,#H21:::0.2944043258274942):3.391991192424017):0.25646184092416374,(9)#H21:::0.7055956741725058);",300,16,0.33,0.9,2,661.909920688,10,0,0.29809506666666674,10,3,3,med,1
"(((((((2:1.0,#H1:0.0::0.5):1.0,(4:1.0,(3:1.0)#H1:0.0::0.5):1.0):1.0,#H2:0.0::0.5):1.0,((5:1.0,6:1.0):2.0,(1:3.0)#H2:0.0::0.5):1.0):1.0,#H3:0.0::0.5):1.0,(9:5.0,((7:1.0,8:1.0):4.0)#H3:0.0::0.5):1.0):3.0,10:9.0);","(6,5,((#H11:0.0::0.39850199541704046,((2,(3,#H17:::0.16155097722235692):9.754783172946611):0.29276070006457494,(4)#H17:::0.8384490227776431):0.3186176537479581):1.4625256656852181,(((1,(10,(9,((8,7):2.54745261464332)#H15:3.1631439592200232::0.7571717175084443):0.24870785806343496):1.5327085768435533):0.0,#H15:0.32042938420464645::0.24282828249155577):0.0)#H11:0.0::0.6014980045829595):1.1607939310310469);",300,16,0.33,0.7,2,740.147602082,10,4,0.29809506666666674,10,3,3,med,1
